,gene,essential
86,SYNPCC7942_RS01475,True
87,SYNPCC7942_RS01490,True
88,SYNPCC7942_RS01500,False
89,SYNPCC7942_RS01505,False
90,SYNPCC7942_RS01565,False
91,SYNPCC7942_RS01570,False
92,SYNPCC7942_RS01575,False
93,SYNPCC7942_RS01580,True
94,SYNPCC7942_RS01600,False
95,SYNPCC7942_RS01605,True
96,SYNPCC7942_RS01630,True
97,SYNPCC7942_RS01640,True
98,SYNPCC7942_RS01645,True
99,SYNPCC7942_RS01655,False
100,SYNPCC7942_RS01660,True
101,SYNPCC7942_RS01665,True
102,SYNPCC7942_RS01670,True
103,SYNPCC7942_RS01680,True
104,SYNPCC7942_RS01685,True
105,SYNPCC7942_RS01690,True
106,SYNPCC7942_RS01695,True
107,SYNPCC7942_RS01700,True
108,SYNPCC7942_RS01705,True
109,SYNPCC7942_RS01710,True
110,SYNPCC7942_RS01715,True
111,SYNPCC7942_RS01750,False
112,SYNPCC7942_RS01755,False
113,SYNPCC7942_RS01760,True
114,SYNPCC7942_RS01800,False
115,SYNPCC7942_RS01880,False
116,SYNPCC7942_RS01885,False
117,SYNPCC7942_RS01890,False
118,SYNPCC7942_RS01965,True
119,SYNPCC7942_RS02000,False
120,SYNPCC7942_RS02010,False
121,SYNPCC7942_RS02020,True
122,SYNPCC7942_RS02025,False
123,SYNPCC7942_RS02040,True
124,SYNPCC7942_RS02045,False
125,SYNPCC7942_RS02065,True
126,SYNPCC7942_RS02075,False
127,SYNPCC7942_RS02080,True
128,SYNPCC7942_RS02095,True
129,Synpcc7942_0413,False
130,SYNPCC7942_RS02140,True
131,SYNPCC7942_RS02165,False
132,SYNPCC7942_RS02185,False
133,SYNPCC7942_RS02195,True
134,SYNPCC7942_RS02205,False
135,SYNPCC7942_RS02245,True
136,SYNPCC7942_RS02250,True
137,SYNPCC7942_RS02255,False
138,SYNPCC7942_RS02260,False
139,SYNPCC7942_RS02275,False
140,SYNPCC7942_RS02295,True
141,SYNPCC7942_RS02300,True
142,SYNPCC7942_RS02320,True
143,SYNPCC7942_RS02325,False
144,SYNPCC7942_RS13675,False
145,SYNPCC7942_RS02335,False
146,SYNPCC7942_RS02340,False
147,SYNPCC7942_RS02375,False
148,SYNPCC7942_RS02390,True
149,SYNPCC7942_RS02420,True
150,SYNPCC7942_RS02455,True
151,SYNPCC7942_RS02470,True
152,SYNPCC7942_RS02475,True
153,SYNPCC7942_RS02485,True
154,SYNPCC7942_RS02490,False
155,Synpcc7942_0491,False
156,SYNPCC7942_RS02505,True
157,SYNPCC7942_RS02560,True
158,SYNPCC7942_RS02565,True
159,SYNPCC7942_RS02570,True
160,SYNPCC7942_RS02595,True
161,SYNPCC7942_RS02670,True
162,SYNPCC7942_RS02690,False
163,SYNPCC7942_RS02695,False
164,SYNPCC7942_RS02715,True
165,SYNPCC7942_RS02720,True
166,SYNPCC7942_RS02730,True
167,SYNPCC7942_RS02735,True
168,SYNPCC7942_RS02760,True
169,SYNPCC7942_RS02765,False
170,SYNPCC7942_RS02780,False
171,SYNPCC7942_RS02810,True
172,SYNPCC7942_RS02850,True
173,SYNPCC7942_RS02885,False
174,SYNPCC7942_RS02900,True
175,SYNPCC7942_RS02935,True
176,SYNPCC7942_RS02940,False
177,SYNPCC7942_RS02945,False
178,SYNPCC7942_RS02950,True
179,SYNPCC7942_RS02965,True
180,SYNPCC7942_RS02970,True
181,SYNPCC7942_RS03010,True
182,SYNPCC7942_RS03015,False
183,SYNPCC7942_RS03035,False
184,SYNPCC7942_RS03055,False
185,SYNPCC7942_RS03060,True
186,SYNPCC7942_RS03080,False
187,SYNPCC7942_RS03095,False
188,SYNPCC7942_RS03100,True
189,SYNPCC7942_RS03120,False
190,SYNPCC7942_RS03125,False
191,SYNPCC7942_RS03140,True
192,SYNPCC7942_RS03170,True
193,SYNPCC7942_RS03195,False
194,SYNPCC7942_RS03210,True
195,SYNPCC7942_RS03225,False
196,SYNPCC7942_RS03275,False
197,SYNPCC7942_RS03280,True
