exchange,growth,uptake
EX_nh4_e,True,10
EX_no2_e,True,10
EX_no3_e,True,10
EX_urea_e,True,10
EX_ala__L_e,True,10
EX_arg__L_e,True,10
EX_asn__L_e,True,10
EX_asp__L_e,True,10
EX_cys__L_e,True,10
EX_glu__L_e,True,10
EX_tyr__L_e,True,10
EX_val__L_e,True,10
EX_ala__D_e,True,10
EX_ser__D_e,False,10
EX_hom__L_e,True,10
EX_orn_e,True,10
EX_etha_e,True,10
EX_ptrc_e,True,10
EX_agm_e,False,10
EX_peamn_e,False,10
EX_tym_e,True,10
EX_gam_e,True,10
EX_acgam_e,False,10
EX_ade_e,True,10
EX_adn_e,True,10
EX_cytd_e,True,10
EX_csn_e,True,10
EX_gua_e,False,10
EX_gsn_e,True,10
EX_thym_e,True,10
EX_thymd_e,True,10
EX_ura_e,True,10
EX_uri_e,True,10
EX_ins_e,True,10
EX_xan_e,True,10
EX_xtsn_e,True,10
EX_alltn_e,True,10
